herramienta,tipo,hallazgo,severidad,iso27001,cobit2019
Trivy,Vulnerability,CVE-2026-52490 | libtiff6 | wordpress:latest (debian 13.6) | libtiff: libtiff: Arbitrary code execution via process_command_opts() function,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2025-69720 | libtinfo6 | wordpress:latest (debian 13.6) | ncurses: ncurses: Buffer overflow vulnerability may lead to arbitrary code execution.,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-16742 | libudev1 | wordpress:latest (debian 13.6) | systemd: systemd-homed: Local privilege escalation via missing home-record signature verification,HIGH,A.8.2,DSS05.04
Trivy,Vulnerability,CVE-2026-76642 | libuuid1 | wordpress:latest (debian 13.6) | util-linux: util-linux: failed external mount helper still runs privileged X-mount post-hooks,HIGH,A.8.2,DSS05.04
Trivy,Vulnerability,CVE-2026-78408 | libuuid1 | wordpress:latest (debian 13.6) | util-linux: util-linux: nsenter --join-cgroup leaks root cgroup migration authority,HIGH,A.8.2,DSS05.04
Trivy,Vulnerability,CVE-2026-78409 | libuuid1 | wordpress:latest (debian 13.6) | util-linux: util-linux: X-mount.subdir detached-tree resolution can escape via intermediate symlinks,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,"CVE-2026-78410 | libuuid1 | wordpress:latest (debian 13.6) | util-linux: util-linux: restricted bind mounts do not pin the source, allowing X-mount.owner/group/mode redirection",HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-6653 | libxml2 | wordpress:latest (debian 13.6) | libxml2: mingw-libxml2: libxml2: Denial of Service via crafted XML input due to use-after-free,CRITICAL,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-86140 | libxml2 | wordpress:latest (debian 13.6) | libxml2: libxml2: Arbitrary code execution via stack-based buffer overflow in xmlSnprintfElements,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-43185 | linux-libc-dev | wordpress:latest (debian 13.6) | kernel: ksmbd: fix signededness bug in smb_direct_prepare_negotiation(),CRITICAL,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2013-7445 | linux-libc-dev | wordpress:latest (debian 13.6) | kernel: memory exhaustion via crafted Graphics Execution Manager (GEM) objects,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2019-19449 | linux-libc-dev | wordpress:latest (debian 13.6) | kernel: mounting a crafted f2fs filesystem image can lead to slab-out-of-bounds read access in f2fs_build_segment_manager in fs/f2fs/segment.c,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2019-19814 | linux-libc-dev | wordpress:latest (debian 13.6) | kernel: out-of-bounds write in __remove_dirty_segment in fs/f2fs/segment.c,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2021-3847 | linux-libc-dev | wordpress:latest (debian 13.6) | kernel: low-privileged user privileges escalation,HIGH,A.8.2,DSS05.04
Trivy,Vulnerability,CVE-2021-3864 | linux-libc-dev | wordpress:latest (debian 13.6) | kernel: descendant's dumpable setting with certain SUID binaries,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2024-21803 | linux-libc-dev | wordpress:latest (debian 13.6) | kernel: bluetooth: use-after-free vulnerability in af_bluetooth.c,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2024-58015 | linux-libc-dev | wordpress:latest (debian 13.6) | kernel: wifi: ath12k: Fix for out-of bound access error,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2025-22104 | linux-libc-dev | wordpress:latest (debian 13.6) | kernel: ibmvnic: Use kernel helpers for hex dumps,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2025-38137 | linux-libc-dev | wordpress:latest (debian 13.6) | kernel: PCI/pwrctrl: Cancel outstanding rescan work when unregistering,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2025-38187 | linux-libc-dev | wordpress:latest (debian 13.6) | kernel: drm/nouveau: fix a use-after-free in r535_gsp_rpc_push(),HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2025-38204 | linux-libc-dev | wordpress:latest (debian 13.6) | kernel: jfs: fix array-index-out-of-bounds read in add_missing_indices,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2025-38206 | linux-libc-dev | wordpress:latest (debian 13.6) | kernel: Kernel: Double free vulnerability in exFAT filesystem can lead to denial of service,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2025-38421 | linux-libc-dev | wordpress:latest (debian 13.6) | kernel: platform/x86/amd: pmf: Use device managed allocations,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2025-38636 | linux-libc-dev | wordpress:latest (debian 13.6) | kernel: rv: Use strings in da monitors tracepoints,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2025-39859 | linux-libc-dev | wordpress:latest (debian 13.6) | kernel: ptp: ocp: fix use-after-free bugs causing by ptp_ocp_watchdog,HIGH,A.8.8,DSS05.07
